gas;ndpi;oil
180257.1;24795.08258;2277.506934
165627.9;23909.74398;2725.28421
149808.7;20817.52724;2714.427847
168283.1;20945.99646;1433.600145
153429.9;21896.35016;1471.608709
120888.4;16632.73929;1854.398812
131203.8;15558.68053;2128.14795
177114.1;20890.96207;2178.631507
181924;24354.64951;2240.720165
151609.7;22008.63813;2309.234453
135902.9;16961.13791;2321.066752
181912.8;21730.86489;2611.46117
182910.8;34192.77214;2986.500315
165597.5;37366.53918;3201.738151
142621.4;30190.62161;3268.520253
179708.9;34519.28711;3407.529127
185062;65275.68731;3546.129231
153202.2;69995.39048;3289.206656
139351.1;54440.28816;3492.038585
177035.5;67674.68638;3396.535111
182661.3;82282.52909;3377.479071
152236.8;75863.27796;3225.61282
147182.1;65335.21795;3619.124353
185531.9;88248.58841;3526.221602
181224.2;104458.3384;3744.089325
152221.7;90013.65325;3773.291921
132230.1;70592.6755;3634.449385
177151.9;92167.67392;3499.634279
;92167.67392;3275.769147
;113834.4128;3199.875162
;83983.62955;3079.01475
;117266.2914;
